method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy,ER_sum
full_log,0,150370,0.928771016304247,0.8127643151921125,0.8783598871670011,0.8127643151921125,0.6296296296296295,2.9348731045816607,0.5,11.42773673423794,441316.8687359443
trace2vec_based,1,68423,0.9865163687006248,0.99209592375781,0.978827899820656,0.99209592375781,0.7142857142857143,2.194012954073403,0.2884615384615384,9.301413810122057,150120.94835656445
trace2vec_based,2,20732,0.9938121462055516,0.7566152473527271,0.9932023505490588,0.7566152473527271,0.6470588235294118,0.2585580906270281,0.4230769230769231,10.62340546704132,5360.426334879547
trace2vec_based,3,57581,0.9952922714790112,0.9090433774410768,0.9963938070618912,0.9090433774410768,0.8181818181818181,0.2561585091978856,0.3717948717948718,8.197504999900788,14749.86311812345
trace2vec_based,4,3634,0.980276337629623,0.8891228466854146,0.946600649760788,0.8892548664810076,0.7647058823529413,4.011815870942872,0.3653846153846153,8.358511098811169,14578.938875006397
trace2vec_based,average,150370,0.9907320037621558,0.925337672678638,0.9867574056439002,0.9253408632082464,0.7460202394572125,1.2290362218831803,0.3407911340062035,9.038175460564268,184810.17668457382
entropic_clustering_++,1,56698,0.9997555319162994,0.9165894455499344,0.9991907937573108,0.9165624885232656,0.7560975609756097,0.0647322959343063,0.3461538461538461,9.942991119821937,3670.1917148833004
entropic_clustering_++,2,24684,0.9957575645550352,0.6508642617533096,0.9861359218598388,0.6509723056440784,0.6603773584905661,1.336967912737943,0.3717948717948718,9.587965016300789,33001.715958023386
entropic_clustering_++,3,19261,0.9757588756913618,0.7416978468538848,0.9434909161831944,0.7416978468538848,0.7272727272727273,2.477118435465256,0.3461538461538461,7.670863187841773,47711.7781854963
entropic_clustering_++,4,49727,0.9970566718274156,0.8186115731419067,0.992275293236534,0.8186115731419067,0.875,0.510662191292094,0.2948717948717949,6.8394001739476975,25393.698786381956
entropic_clustering_++,average,150370,0.9951329899362908,0.818166268183741,0.9876261938087244,0.8181738398130665,0.7760131623939366,0.7300484448013895,0.3334040989490879,8.567323184710716,109777.38464478494
entropic_clustering_++_norm,1,24716,0.9940248794768692,0.6098441677035735,0.9852965713806316,0.6099294983995928,0.6428571428571429,1.3830468203233206,0.4294871794871794,10.34479604296092,34183.38521111119
entropic_clustering_++_norm,2,19259,0.9757526822999768,0.7416901968309666,0.9435094577785988,0.7416901968309666,0.7272727272727273,2.477161051213046,0.3525641025641026,7.572138850968424,47707.64468531205
entropic_clustering_++_norm,3,56668,0.8712287475375969,0.5714314517822789,0.8999664300872036,0.5714314517822789,0.6969696969696969,0.0430853953461163,0.2243589743589743,7.370681015632154,2441.563183473719
entropic_clustering_++_norm,4,49727,0.9970922331414004,0.8205380826070481,0.9923541547859702,0.8205380826070481,0.8,0.5105461010561066,0.3012820512820512,6.869939952305997,25387.925967217016
entropic_clustering_++_norm,average,150370,0.9464223979014998,0.6819305359654717,0.950121243737616,0.6819445615921446,0.7260283393315249,0.7296702736391167,0.2999339236720363,7.719738358254879,109720.51904711398
entropic_clustering_randominit,1,56697,0.9997247334796852,0.8461348661912638,0.9991973689964512,0.84608896121508,0.7499999999999999,0.0646839225039161,0.3333333333333333,9.571947649722365,3667.3843542045324
entropic_clustering_randominit,2,24681,0.9957911561976776,0.6508577812466523,0.986239866625033,0.6509658508212028,0.6603773584905661,1.3334034922085796,0.358974358974359,9.45988543426375,32909.731591199954
entropic_clustering_randominit,3,49717,0.9970871445791676,0.8185666480554978,0.9923286397681746,0.8185666480554978,0.875,0.5048330543646152,0.2756410256410256,6.795370465616494,25098.784963845574
entropic_clustering_randominit,4,19275,0.975697964436178,0.7417384516358756,0.9432796209973818,0.7417384516358756,0.7272727272727273,2.5001423537129224,0.391025641025641,7.925851042817215,48190.24386781658
entropic_clustering_randominit,average,150370,0.9951271834259652,0.7915861947466343,0.987631821880981,0.7915866242919877,0.7737053960436755,0.7306387229970515,0.3258622747649815,8.424528566793441,109866.14477706663
entropic_clustering_split_++,1,72471,0.9649260664707155,0.6710138757287045,0.9682183835529456,0.6710254176810557,0.6774193548387096,1.2190410839269077,0.4551282051282051,8.449592726311,88345.12639326691
entropic_clustering_split_++,2,49899,0.9958969547044272,0.8173987598671596,0.9901582049077804,0.8173987598671596,0.8285714285714286,0.57833641411506,0.358974358974359,7.427996339005902,28858.408727927377
entropic_clustering_split_++,3,20707,0.9959380702890446,0.7533783783783784,0.9947591000886804,0.7533962131343703,0.7777777777777779,0.1733913149172077,0.25,5.822255063993338,3590.413957990621
entropic_clustering_split_++,4,7293,0.9941686980833032,0.7616187250668687,0.9918565187299452,0.7616187250668687,0.6842105263157894,3.22173390039453,0.3012820512820512,8.600895211238765,23496.105335577307
entropic_clustering_split_++,average,150370,0.980892339180636,0.7353269851003531,0.9803002262272572,0.7353350037285448,0.7417273099133294,0.9595667647453762,0.3875111903458648,7.756120158104768,144290.0544147622
entropic_clustering_split_++_norm,1,72415,0.9659073975701076,0.6922164638189776,0.968531079950752,0.692239562550676,0.6727272727272727,1.1928076307836604,0.358974358974359,7.60344265442784,86377.16458319877
entropic_clustering_split_++_norm,2,49944,0.9961089894797396,0.743625982825742,0.9904885691578728,0.743625982825742,0.6842105263157894,0.6074996858170196,0.4166666666666667,7.80674238464184,30340.96430844523
entropic_clustering_split_++_norm,3,7228,0.9949399835514208,0.7624117067420594,0.9929907993001418,0.7624117067420594,0.6842105263157894,3.117982222113821,0.3012820512820512,8.556786773948373,22536.7755014387
entropic_clustering_split_++_norm,4,20783,0.995145575093687,0.5047975627811627,0.9930995576020412,0.5047975627811627,0.6666666666666666,0.244343967070821,0.2884615384615384,8.057424813965616,5078.200667632874
entropic_clustering_split_++_norm,average,150370,0.9813751962086668,0.6867621924407303,0.9803954569105484,0.6867733162995847,0.6762556560378074,0.9598530628497408,0.3656174172084925,7.779538180419568,144333.10506071555
entropic_clustering_split_randominit,1,72415,0.9659073975701076,0.6922164638189776,0.968531079950752,0.692239562550676,0.6727272727272727,1.1928076307836604,0.358974358974359,7.60344265442784,86377.16458319877
entropic_clustering_split_randominit,2,49910,0.9958322672352524,0.6924321194538308,0.9900209068655784,0.6924321194538308,0.7894736842105263,0.5827555758240615,0.3782051282051282,7.397287942624735,29085.330789378906
entropic_clustering_split_randominit,3,7250,0.9943558596757632,0.8001467216872994,0.9921037361347862,0.8001467216872994,0.6842105263157894,3.2123517610404444,0.3846153846153846,9.926144181847754,23289.55026754322
entropic_clustering_split_randominit,4,20795,0.9929686622384194,0.4596472912694236,0.9930366090827696,0.4596472912694236,0.6393442622950819,0.2567265513000826,0.2756410256410256,8.223469611625854,5338.628634285218
entropic_clustering_split_randominit,average,150370,0.98095388685674,0.6653293307413217,0.9801893329064848,0.665340454600176,0.7074141602959934,0.9582408344377608,0.3550692479917059,7.732749464181342,144090.6742744061
frequency_based,1,88831,0.9999003184013856,0.8301125597854924,0.9997226376340668,0.8301125597854924,0.6923076923076922,1.4894828383126892,0.303030303030303,6.711728233306902,132312.2500101545
frequency_based,2,3614,1.0,0.9359989041429484,0.9479754984330656,0.9362855093037812,0.7333333333333333,3.9775869534696233,0.3939393939393939,8.056138132626605,14374.999249839218
frequency_based,3,57366,0.9910912487141078,0.9552917885634392,0.9848160836561908,0.9552917885634392,0.6923076923076922,1.839770989402674,0.2435897435897435,8.417836374923352,105540.30257807381
frequency_based,4,559,0.9908223077611116,0.8296236805874254,0.978184225348604,0.8332269853239747,0.6666666666666666,8.365539890431224,0.3782051282051282,9.901240784402535,4676.336798751054
frequency_based,average,150370,0.9965083156725772,0.8804113667490613,0.9927120403803936,0.8804316503056147,0.693198384156687,1.708478344329445,0.2828181666264395,7.4067753473866595,256903.8886368186
random_clustering,1,69602,0.9554156886502114,0.7868251804239538,0.944241311249904,0.7870779321366637,0.6923076923076922,1.351772496682105,0.4230769230769231,6.960022640500456,94086.06931406788
random_clustering,2,67342,0.9981084917266152,0.501549135749207,0.9967127392397248,0.501549135749207,0.6507936507936508,1.0599459848637882,0.4230769230769231,14.608202389074124,71378.88251269722
random_clustering,3,8937,0.9899859194593073,0.9229814298347052,0.9782690865587392,0.9229814298347052,0.7560975609756097,3.860888356420064,0.391025641025641,10.847231397948455,34504.759241326115
random_clustering,4,4489,0.987480805708608,0.5486164142010191,0.9804533180205512,0.5486164142010191,0.6585365853658536,4.110330616361188,0.3653846153846153,9.321466513319631,18451.27413684537
random_clustering,average,150370,0.9775471856774588,0.6600475642034467,0.9708436443616884,0.6601645557889226,0.6764990401402698,1.452556927611469,0.4194497163407186,10.686724953720152,218420.9852049366
actitrac_freq,1,59928,0.9282761376365248,0.6666485064663576,0.901706911511596,0.6666485064663576,0.6842105263157894,0.6878395671409405,0.4423076923076923,9.193383135834102,41220.849579622285
actitrac_freq,2,65881,0.9924281011850068,0.7848535041955129,0.986141446367278,0.7848535041955129,0.6708860759493671,2.057169718230418,0.4038461538461538,9.661778705483492,135528.39820673814
actitrac_freq,3,20777,0.999946224351988,0.8580740619523937,0.9997707020669128,0.8580740619523937,0.6842105263157894,0.1521904054566596,0.3214285714285714,3.1716906090780457,3162.0600541730173
actitrac_freq,4,3784,0.9994168890145424,0.9372481004294682,0.999143727934268,0.9372481004294682,0.7777777777777779,2.116374288829966,0.2111111111111111,3.176495896214201,8008.3603089325925
actitrac_freq,average,150370,0.9680758417360068,0.7516964620777445,0.9547015506054204,0.7516964620777445,0.6807273206560295,1.2497151569426483,0.4029365546263864,8.415154510316642,187919.66814946607
actitrac_dist,1,62316,0.9868312090319185,0.6886313469092464,0.9812607402963236,0.6886313469092464,0.7674418604651162,1.111854062834054,0.4166666666666667,8.620643991094806,69286.2977795669
actitrac_dist,2,46745,1.0,1.0,0.999950289103767,1.0,0.8461538461538463,0.0688686082798008,0.3,0.0688509334225739,3219.263094039289
actitrac_dist,3,20535,0.9985618234383044,0.9976336885483404,0.9982621194814006,0.9976336885483404,0.7391304347826086,0.0740919639699398,0.2916666666666667,2.906167550191912,1521.4784801227152
actitrac_dist,4,20774,0.9995622905104256,0.6718584913529444,0.9993145265531072,0.6718584913529444,0.625,3.395444707175136,0.4545454545454545,8.441364040639462,70536.96834685627
actitrac_dist,average,150370,0.9942857464215082,0.82530655787526,0.9918866340003066,0.82530655787526,0.7683657777047722,0.9613886260596208,0.3685615632953865,5.157022910522958,144564.00770058518
